scramble,orientation,cross,pair_fr,pair_bl,pair_fl,pair_br,oll,pll,total_moves
L2 B2 R2 B2 F2 U D2 L F B R2 D2 B U R B U D2 B' U2 D' B' D' F,x2,D L2 R' D2 B' D',D' L' U' L D,R' B' R B U R,R U2 R U B U' B' R2,R B2 R' B2,B' U' R' U R B,L U' F R' F' L' F R F' U' L U2 L' U',49
B R L' B2 U D' R' U' R' D' R B F2 R U F' L2 U' B' D2 R2 U2 F' L2,x2,R2 B2 D F2 R B,F R' F R F2,U' R2 D' F2 D R2,R U2 R',U B' U' B,U L' U2 L2 F' L' F L' U2 L,U U' F2 D' L2 U L2 F2 D R2 U' R2 U2,47
R' L' F2 R D' L B' R2 L' U2 B' R2 D2 B' U L2 R' F' U2 D L' B2 F2,x2,B2 U' L' F2 D B L,B D' B' U B D B',R' B' R' B R,U' F2 R U2 R' U2 F2,U' L B L B' L',F B' U' R' U R B U F',U' B2 D' F2 D' L2 F' D' B D2 F' D B U2,55
B' R2 B D' U' L2 D' U2 B F2 U2 R L2 B2 D' L F' R2 D' U2 R L2,x2,R' F' D' B' L' D2 L2,L2 U' L' U L2,U2 B U' B',U2 R B' U R' B,B U2 B' L U L',U' F R' F' R U2 F2 L F L' F,U2 U' B2 D' F2 D' L2 F' D' B D2 F' D B U',54
D' U2 B F U2 D' B' L F2 B2 U2 L' R F2 D F U R L' B' D' L2,x2,F2 L R' D,F U2 F R2 B' R' B R' F2,B U2 B' R' U' R,U B' R2 B R2,U2 F L U L' F',L' U' B' U B L,U2 L' U2 L F R U' R' U' F' U' L F' L' F,51
R U R2 F L2 U' D L2 F' B2 R2 D R D R2 F' L2 F2 D' B' D' U L2 F2,x2,B F2 R B D F',F U R' F R F2,U' R2 D' F2 D R2,R D2 B U B' D2 R',U2 L2 B L2 B',F' L2 B L B' L F,U2 B2 D B' U' F U2 B' U F' U' B2 L2 D' B2 U,53
L U D' L2 D R' U2 R' L' D U B D F' D R F U2 D2 L' D' R' U2,x2,B D2 B L2,D2 B U B' D2,U B L U2 L' B',U R U R',B' R' U2 R U' B,U B' U' B U F' B L' B' L F,U B2 D F2 D R2 F D B' D2 F D' B' U',50
L2 D F R B R2 U L2 U' L2 D2 B' L D' B' D L2 B2 F R L' D2,x2,D U F' L R2 B D,B2 L2 B2 L2,U' R2 U2 R U R' U R2,U R F R F' R',U2 L U L',F U R2 D R' U' R D' R2 F',F2 L2 U' L2 D F2 D' F2 U F2 U2,50
F2 B L2 D' R L B D' U2 L U2 B R' D2 L' D2 U' L' F B U' R' B',x2,F D' R' F' L,U L' B L' B' L U' L,F2 R2 F' R2 F',U F U2 F2 U' F,U2 L U L',U2 R B R' F' R U B' U' R' F,U R' U L' U R U2 F R B2 R' F' B2 U L U,55
U B2 U' R B' U R U2 L' U2 D L D L2 D B' F R F' R' D F D,x2,D' B' L U' B F2,F L U2 F2 L' F',U B L U2 L' B',R U2 R' F' U' F,R B2 R' U' B2 U B2,F R U' B U B' R' F',U2 B2 D F2 D R2 F D B' D2 F D' B' U' U',54
D' F2 B L2 D' R' F2 D' R' D2 B F2 U' D2 R D R2 U' R2 B2 D',x2,B' L' U B2 U2 F2,U2 L' U' L,R' B' R' B R,U2 L F2 L' F2,B' R B' R' B2,R B R' F' R U B' U' R' F,B' R B' L2 B R' B' L2 B2 U',45
